...1,age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital,l_earnings
228,50,1,0,13,25000,40,52,0,0,3,1,1,10.1266311038503
435,23,0,1,9,15000,40,52,0,0,3,1,7,9.61580548008435
718,34,0,0,13,43000,50,52,0,0,4,1,1,10.6689553946757
823,38,0,0,12,80000,40,49,0,0,4,1,5,11.289781913656
843,54,1,0,16,42000,40,52,0,0,3,1,1,10.6454248972655
708,42,1,0,16,44000,40,52,0,0,4,1,1,10.6919449129004
774,26,0,1,14,78858,45,52,0,0,3,7,1,11.2754040457101
703,56,0,0,18,42000,40,52,0,0,3,3,1,10.6454248972655
998,26,0,1,6,24000,40,52,0,0,2,1,1,10.0858091093301
476,56,1,0,13,28581,37,52,1,0,2,1,1,10.2604974403749
123,25,1,0,16,41000,36,52,0,0,2,1,7,10.6213273456864
233,39,0,0,16,120000,55,52,0,0,4,4,1,11.6952470217642
270,31,1,0,13,20000,40,52,0,0,3,2,5,9.90348755253613
248,64,1,0,12,60000,40,50,0,0,2,1,1,11.0020998412042
7,68,0,0,16,34101,55,50,0,1,1,1,1,10.4370819883548
861,32,0,0,18,50000,40,52,0,0,2,3,1,10.8197782844103
498,37,0,1,8,35000,40,52,0,0,4,1,1,10.4631033404715
951,60,0,0,13,71400,45,52,0,0,3,1,1,11.1760531483277
112,49,0,0,12,40000,40,52,1,0,1,2,1,10.5966347330961
470,47,1,0,13,23200,40,52,0,0,2,1,1,10.0519075576544
965,24,1,1,13,24000,40,52,0,0,2,1,7,10.0858091093301
513,42,0,0,13,108000,50,52,0,0,1,1,5,11.5898865061064
307,45,0,0,18,80000,45,52,0,0,1,1,1,11.289781913656
800,52,1,0,13,50000,55,52,0,0,4,1,4,10.8197782844103
449,60,1,0,16,60000,50,52,0,0,2,1,1,11.0020998412042
866,34,1,0,18,45000,40,52,0,0,4,1,1,10.7144177687525
378,37,1,0,18,72000,40,52,0,0,4,3,1,11.1844213979982
871,33,1,0,14,48000,45,52,0,0,4,1,7,10.77895628989
669,39,0,0,16,87000,40,52,0,0,3,2,1,11.3736633976367
524,51,0,0,14,45000,40,52,0,0,4,4,1,10.7144177687525
828,37,0,0,16,86000,40,52,0,0,3,1,1,11.3621025752356
428,40,1,0,13,29000,40,52,0,0,4,1,1,10.2750511089686
966,62,1,0,20,150000,45,52,0,0,1,1,1,11.9183905730784
959,49,0,0,18,100000,40,52,0,0,4,1,1,11.5129254649702
359,49,1,0,20,95002,50,52,0,0,3,2,7,11.4616532229927
150,53,1,0,10,35000,40,52,0,0,2,1,5,10.4631033404715
197,34,0,0,16,51000,40,52,0,0,1,1,1,10.8395809117065
523,44,0,0,16,83000,50,52,0,0,2,1,5,11.3265958867787
107,51,0,0,13,100000,50,52,0,0,2,1,1,11.5129254649702
276,42,0,0,12,30000,40,52,0,0,1,1,1,10.3089526606443
574,32,0,0,16,40000,40,52,0,0,4,4,1,10.5966347330961
584,56,0,0,13,41848,55,52,0,0,2,1,1,10.6417992850504
515,32,0,0,16,74000,70,52,0,0,3,1,1,11.2118203721863
452,42,1,1,16,42000,40,52,0,0,3,1,1,10.6454248972655
797,41,1,0,13,60000,60,52,0,0,4,1,1,11.0020998412042
194,22,0,0,12,22000,40,52,0,0,4,5,7,9.99879773234045
290,59,1,0,13,14500,38,52,0,0,3,2,4,9.58190392840867
967,33,0,0,12,49000,40,49,0,0,4,2,5,10.7995755770928
493,44,0,0,8,55000,58,50,0,0,4,1,1,10.9150884642146
256,57,1,0,16,38000,40,52,0,0,1,1,7,10.5453414387085
511,45,0,0,11,28000,40,52,0,0,3,2,1,10.2399597891573
639,41,0,0,12,45000,50,52,1,0,2,1,7,10.7144177687525
234,22,0,0,16,25000,40,52,0,0,3,1,7,10.1266311038503
935,43,0,0,12,50000,50,52,0,0,3,1,1,10.8197782844103
353,57,0,0,9,33000,45,52,0,0,3,1,1,10.4042628404486
287,25,0,1,12,14000,40,52,0,0,3,1,1,9.5468126085974
56,28,0,0,12,102000,50,51,0,0,2,1,1,11.5327280922664
1,44,0,0,20,30000,40,52,0,0,2,4,1,10.3089526606443
382,38,0,1,8,18000,40,52,0,0,4,1,7,9.7981270368783
19,37,0,0,16,55000,45,52,0,0,3,1,1,10.9150884642146
501,44,0,0,13,90000,40,52,0,0,1,1,7,11.4075649493124
970,45,1,0,12,22000,40,52,0,0,3,1,1,9.99879773234045
306,59,1,1,13,38354,40,52,0,0,4,1,5,10.5546141038335
425,62,1,0,13,30000,40,52,0,0,3,1,1,10.3089526606443
361,36,0,0,13,79885,65,52,0,0,2,1,1,11.2883433794617
987,32,0,0,18,60000,45,51,0,0,4,1,1,11.0020998412042
