midterm,noquiz,lecture,last_minute,num_attempts
72,0,0,0,2
78,0,1,0,1
75,0,0,0,1
59,0,0,0,2
42,0,0,1,1
59,0,0,0,3
52,0,0,0,1
45,0,0,1,2
48,0,1,0,1
67,0,0,1,1
80,0,1,0,1
98,1,0,0,NA
64,0,0,0,2
73,0,1,0,1
37,0,0,1,3
93,0,1,0,1
69,0,0,0,3
33,0,1,0,3
47,0,0,1,1
67,0,0,0,1
85,0,1,0,1
62,0,1,0,1
67,0,0,0,1
41,0,0,0,3
77,0,0,0,1
83,0,0,0,3
71,0,0,0,1
78,0,0,0,2
58,1,0,0,NA
75,0,0,1,2
79,0,1,0,1
70,0,1,0,1
69,0,0,1,2
80,0,1,0,1
74,0,0,1,1
73,0,1,0,1
84,0,0,0,1
91,1,0,0,NA
63,0,0,0,1
38,0,0,1,3
67,0,0,1,2
58,0,0,0,2
83,0,0,1,1
74,0,0,0,1
68,0,0,0,2
64,0,0,0,1
43,0,0,0,1
85,0,1,0,3
83,0,0,0,1
73,0,0,0,3
52,1,0,0,NA
79,0,1,0,1
76,0,0,0,1
56,0,0,0,3
87,0,0,0,3
46,0,0,0,3
86,0,0,0,1
28,0,1,0,1
85,0,1,0,1
65,0,1,0,1
55,0,0,0,3
48,0,1,0,1
73,0,0,0,1
85,0,1,0,2
77,0,0,0,1
62,0,0,0,2
77,0,1,0,3
69,0,0,0,1
48,0,0,1,2
77,0,1,0,2
69,0,1,0,1
75,0,0,0,1
92,0,1,0,1
78,0,0,0,1
69,1,0,1,NA
72,0,0,0,2
94,0,1,0,3
91,0,1,0,1
52,0,1,0,1
90,0,0,0,1
86,0,1,0,3
30,0,0,0,3
80,0,0,0,1
67,0,1,0,3
75,0,1,0,2
76,0,1,0,1
61,0,0,0,1
92,0,0,0,1
71,0,0,0,2
56,0,1,0,1
81,0,0,0,1
81,0,0,0,1
90,0,1,0,2
59,0,0,0,1
100,0,1,0,1
59,0,0,0,1
60,1,0,1,NA
43,0,0,0,2
70,0,1,0,1
81,0,0,0,1
37,0,0,0,1
59,0,0,0,1
48,0,0,0,1
74,0,0,0,2
85,0,0,0,2
48,1,0,0,NA
87,0,0,1,1
43,0,1,0,1
27,0,0,1,3
58,0,0,0,1
33,0,0,0,1
59,0,0,0,3
92,1,0,1,NA
54,0,0,1,3
90,0,0,0,2
70,0,0,0,1
67,0,1,0,3
55,0,0,1,1
73,0,0,0,3
81,0,1,0,1
68,0,0,0,3
68,0,0,0,1
84,0,1,0,1
54,0,0,0,3
73,0,0,0,1
43,1,0,1,NA
80,0,0,1,1
62,0,0,1,2
93,0,0,0,1
70,0,0,0,1
63,0,0,0,3
67,0,1,0,1
33,0,0,1,3
33,0,0,0,2
49,0,0,0,1
94,0,1,0,2
85,0,0,0,1
43,0,0,1,1
83,0,1,0,1
62,0,0,0,3
48,1,0,1,NA
43,0,0,0,3
83,0,1,0,1
46,0,0,0,1
90,0,0,1,1
72,0,1,0,3
69,0,0,0,1
47,0,0,0,1
84,0,0,0,1
79,0,0,0,2
64,1,0,1,NA
91,0,0,1,1
84,0,0,0,3
84,0,0,0,1
49,0,0,0,2
88,0,1,0,1
97,0,0,0,1
56,0,0,0,2
83,0,0,1,1
98,0,0,1,1
76,1,0,1,NA
31,0,0,0,1
96,0,0,0,1
64,0,0,0,2
75,0,0,0,2
77,0,0,1,1
96,0,1,0,2
96,0,0,0,1
47,0,0,0,3
